
2025/07/14 (23:31:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/14 (23:32:07) | WARNING: Failed to join _runner thread on exit!

2025/07/15 (16:36:36) | ===> btop++ v.1.4.0
2025/07/15 (16:36:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/15 (16:36:43) | WARNING: Failed to join _runner thread on exit!

2025/07/15 (16:38:31) | ===> btop++ v.1.4.0
2025/07/15 (16:38:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/15 (16:39:29) | WARNING: Failed to join _runner thread on exit!

2025/07/15 (23:19:53) | ===> btop++ v.1.4.0
2025/07/15 (23:19:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/18 (12:38:03) | ===> btop++ v.1.4.0
2025/07/18 (12:38:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/18 (12:38:42) | ===> btop++ v.1.4.0
2025/07/18 (12:38:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/20 (13:13:18) | ===> btop++ v.1.4.0
2025/07/20 (13:13:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/24 (13:25:04) | ===> btop++ v.1.4.0
2025/07/24 (13:25:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/29 (17:23:31) | ===> btop++ v.1.4.0
2025/07/29 (17:23:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/29 (19:57:18) | ===> btop++ v.1.4.0
2025/07/29 (19:57:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/01 (14:29:44) | ===> btop++ v.1.4.0
2025/08/01 (14:29:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/01 (16:27:14) | ===> btop++ v.1.4.0
2025/08/01 (16:27:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/01 (16:27:20) | WARNING: Failed to join _runner thread on exit!

2025/08/02 (01:38:30) | ===> btop++ v.1.4.0
2025/08/02 (01:38:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/02 (01:38:59) | WARNING: Failed to join _runner thread on exit!

2025/08/04 (01:45:17) | ===> btop++ v.1.4.0
2025/08/04 (01:45:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/04 (01:47:39) | WARNING: Failed to join _runner thread on exit!

2025/08/05 (22:20:28) | ===> btop++ v.1.4.0
2025/08/05 (22:20:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/06 (15:37:12) | ===> btop++ v.1.4.0
2025/08/06 (15:37:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/08 (00:08:57) | ===> btop++ v.1.4.0
2025/08/08 (00:08:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/09 (19:41:50) | ===> btop++ v.1.4.0
2025/08/09 (19:41:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/09 (19:43:36) | WARNING: Failed to join _runner thread on exit!

2025/08/09 (20:36:27) | ===> btop++ v.1.4.0
2025/08/09 (20:36:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/09 (20:36:41) | WARNING: Failed to join _runner thread on exit!

2025/08/10 (23:45:23) | ===> btop++ v.1.4.0
2025/08/10 (23:45:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/10 (23:45:40) | WARNING: Failed to join _runner thread on exit!

